Manufacture,Rev,Buships,Manufacturer,Reel,Frame,DrawingTitle,SubId
VJ 16-697 C,5,377920,General Electric,32174,I 59,TURBO PIN CLASS A ONE TON,143
JA 12-861 S,10,298938,Lockheed Martin,35402,H 23,MECHANICAL ROLLER CLASS C CHART,127
QS 4-556 Y,7,338055,Intel Corp,37022,W 2,MECHANICAL PIN CLASS A CHART,139
IT 11-161 M,5,189521,Intel Corp,34619,F 11,ELECTRICAL PIN DEVICE TWO TON,166
GL 12-862 P,3,388919,Lockheed Martin,35050,M 94,TURBO BRAKE CLASS C ONE TON,187
ES 1-309 A,10,183461,Lockheed Martin,35969,H 63,MECHANICAL HOIST CHAIN TWO TON,196
MP 10-427 P,9,282623,Microsoft,35812,R 7,TURBO RETAINER CLASS C CHART,147
LW 7-635 N,4,179503,Lockheed Martin,32327,V 60,ELECTRICAL HOOK DEVICE WHEEL,128
TE 18-343 S,9,110141,GE Appliances,34868,V 47,MAGNETIC PIN CHAIN CHART,112
DB 4-578 O,5,130225,PepsiCo,37717,Z 21,ELECTRICAL NUT CLASS B DRIVE,186
PF 4-227 U,1,296468,Microsoft,35706,A 8,MECHANICAL HOOK BOX TWO TON,146
DM 2-419 K,8,379278,General Electric,36618,D 91,AXIAL PIN CHAIN ONE TON,167
GF 4-774 C,7,134035,General Electric,35205,M 35,MECHANICAL BEARING FRAME ONE TON,112
GC 19-484 Q,7,274784,Lockheed Martin,35078,O 3,ELECTRICAL SPACER FRAME CHART,125
UL 8-174 G,3,120262,General Electric,35721,Q 88,SAFETY HOIST FRAME TWO TON,180
OJ 8-275 Y,8,185576,Boeing,32675,U 42,SAFETY BEARING CHAIN CHART,173
MN 10-611 A,2,327899,PepsiCo,32277,J 32,ELECTRICAL RATCHET CLASS B TWO TON,139
HY 9-697 S,8,158402,Boeing,34538,J 79,ELECTRICAL BRAKE FRAME CHART,143
WU 17-810 E,2,358440,Johnson & Johnson,33405,B 59,TURBO BEARING CHAIN DRIVE,195
CV 15-177 Z,10,341858,Johnson & Johnson,36018,I 6,ELECTRICAL RATCHET FRAME WHEEL,180
GD 14-314 M,7,372323,GE Appliances,37499,I 34,SAFETY HOOK CLASS B CHART,177
CZ 6-825 U,6,172109,GlobalFoundries,32307,B 89,AXIAL HOOK FRAME CHART,124
RN 18-182 G,3,324473,Microsoft,33424,Z 27,SAFETY HOOK CLASS C CHART,150
GW 16-177 P,7,113088,Lockheed Martin,34121,E 29,AXIAL RATCHET UNIT ASSEMBLY,189
VB 3-135 L,5,195403,Intel Corp,35839,M 70,MAGNETIC RATCHET BOX ASSEMBLY,165
VJ 12-893 V,8,276491,PepsiCo,34452,P 36,SAFETY NUT CLASS A WHEEL,116
MX 4-162 A,2,122881,Microsoft,33972,I 47,MAGNETIC HOIST CLASS B CHART,195
QU 10-372 A,9,361410,General Electric,33169,X 85,MECHANICAL HOIST CLASS B DRIVE,107
JC 18-768 F,10,255797,PepsiCo,37450,K 19,MAGNETIC NUT FRAME TWO TON,159
TH 13-138 J,9,377915,TPI Composites,34900,C 95,MECHANICAL PIN CHAIN ONE TON,189
DE 9-228 X,5,399804,GlobalFoundries,33514,X 20,TURBO SPACER CLASS C ASSEMBLY,112
IU 11-595 U,9,373390,GlobalFoundries,33146,J 59,AXIAL RETAINER CLASS A ASSEMBLY,113
XB 17-492 H,6,395927,General Electric,36519,A 98,SAFETY RATCHET FRAME ONE TON,185
JG 18-174 F,3,106113,General Electric,37767,V 72,AXIAL RETAINER CLASS B CHART,111
IG 4-247 J,6,160496,TPI Composites,32899,Q 95,AXIAL ROLLER CHAIN DRIVE,198
WO 9-579 E,10,275184,GE Appliances,32102,H 7,ROTARY RETAINER DEVICE DRIVE,150
ME 12-576 X,2,342672,GlobalFoundries,36291,Y 67,TURBO BRAKE CLASS B DRIVE,183
OK 2-483 V,1,353267,Boeing,36800,W 59,TURBO HOOK UNIT CHART,187
QQ 8-488 K,10,160571,PepsiCo,34661,Z 12,TURBO BEARING CLASS A WHEEL,161
HA 17-876 P,10,107199,Johnson & Johnson,35422,V 37,AXIAL BEARING UNIT CHART,135
BH 9-960 B,9,226376,Intel Corp,34807,W 66,TURBO HOIST FRAME TWO TON,129
ZP 17-368 J,7,341080,General Electric,34014,J 92,MAGNETIC BEARING CLASS B ASSEMBLY,121
ZX 17-998 V,4,349938,GE Appliances,32698,Q 26,MAGNETIC ROLLER FRAME TWO TON,173
CV 13-469 P,3,318895,General Electric,35263,Z 9,ROTARY NUT CLASS B CHART,148
SY 18-611 R,5,175813,Johnson & Johnson,33668,D 26,AXIAL HOIST BOX DRIVE,126
QI 5-348 W,9,254524,TPI Composites,37038,Z 79,AXIAL PIN CHAIN ONE TON,195
FD 19-501 B,4,234288,PepsiCo,32780,E 17,AXIAL BEARING CLASS C CHART,165
NV 12-586 K,9,242576,Lockheed Martin,34948,O 2,SAFETY SPACER FRAME TWO TON,187
QA 15-827 Z,7,248752,Microsoft,37474,C 25,MAGNETIC SPACER CLASS A DRIVE,171
EO 15-170 F,3,286313,TPI Composites,35548,F 86,SAFETY BEARING BOX ONE TON,160
XB 13-672 X,6,154968,Lockheed Martin,35891,D 90,MECHANICAL ROLLER FRAME ONE TON,170
SJ 12-606 T,5,206521,Microsoft,34020,V 83,MECHANICAL HOOK CLASS B ASSEMBLY,124
XL 10-513 Q,5,140991,TPI Composites,35833,N 22,TURBO RATCHET UNIT CHART,129
GB 13-482 B,5,122748,General Electric,36913,Y 44,ELECTRICAL NUT CLASS A ASSEMBLY,181
GR 19-471 G,4,138135,GE Appliances,35552,R 23,MAGNETIC BRAKE FRAME WHEEL,115
HF 12-641 T,3,369320,GlobalFoundries,37743,S 66,AXIAL PIN CLASS B DRIVE,164
BQ 5-807 N,6,261310,TPI Composites,34238,G 35,ROTARY PIN FRAME ONE TON,182
PL 6-282 I,5,102712,PepsiCo,35456,P 80,SAFETY HOIST DEVICE WHEEL,197
DN 18-331 R,7,133211,Lockheed Martin,33966,P 17,MECHANICAL SPACER BOX CHART,190
OQ 2-509 D,5,297894,Boeing,32347,Z 57,MECHANICAL RATCHET FRAME TWO TON,185
HZ 4-400 M,3,365800,GE Appliances,37406,X 35,MECHANICAL BRAKE CLASS A CHART,141
GE 2-468 V,9,278400,PepsiCo,33786,H 16,ELECTRICAL RATCHET UNIT ONE TON,121
YN 7-135 X,4,186858,GE Appliances,32772,F 71,MAGNETIC NUT FRAME ASSEMBLY,141
XP 11-685 G,9,370246,Intel Corp,36767,V 13,TURBO RATCHET BOX ONE TON,167
AH 18-404 K,5,325893,Lockheed Martin,36281,X 70,ROTARY HOIST CLASS B ONE TON,148
DX 4-852 L,5,359809,General Electric,37383,Y 10,MECHANICAL NUT CLASS C DRIVE,136
CW 8-481 L,3,369501,Microsoft,36421,F 2,AXIAL RETAINER CHAIN ASSEMBLY,159
KJ 2-699 O,9,317666,Boeing,33713,R 84,MAGNETIC ROLLER CLASS B TWO TON,171
EL 6-314 U,8,236535,Boeing,36033,H 70,ELECTRICAL HOIST CLASS C WHEEL,133
OY 5-125 S,7,151287,Boeing,32517,V 41,AXIAL RATCHET UNIT WHEEL,104
AS 2-709 K,4,213500,TPI Composites,33402,B 90,ELECTRICAL HOIST FRAME ONE TON,172
UE 4-678 L,3,396828,Intel Corp,33859,P 74,AXIAL ROLLER FRAME CHART,129
BM 19-223 M,2,250037,Lockheed Martin,32097,M 50,AXIAL BEARING CLASS B DRIVE,178
OR 3-713 K,8,153522,PepsiCo,33150,X 43,ELECTRICAL RATCHET UNIT WHEEL,121
DF 13-128 U,1,184031,TPI Composites,32724,D 29,SAFETY SPACER BOX DRIVE,195
QU 11-626 I,8,387963,GE Appliances,36505,J 77,AXIAL SPACER CLASS B DRIVE,198
EU 14-770 Y,1,344582,GlobalFoundries,37183,C 86,SAFETY RATCHET CLASS C ASSEMBLY,188
FR 7-802 T,1,338751,Intel Corp,35423,U 90,TURBO HOIST CLASS A TWO TON,122
MS 18-947 C,1,205092,Boeing,37324,N 25,ROTARY HOIST DEVICE TWO TON,119
HQ 9-372 P,3,179145,GlobalFoundries,34481,E 21,ROTARY HOOK CLASS B ONE TON,130
ZK 6-945 V,9,320839,GE Appliances,37104,E 52,ELECTRICAL RETAINER CLASS A CHART,141
SP 8-834 L,7,363736,Lockheed Martin,35957,K 4,ELECTRICAL SPACER CLASS C CHART,155
ST 16-887 I,1,272353,Intel Corp,32523,N 53,AXIAL ROLLER CLASS A DRIVE,106
GU 13-443 S,7,149112,PepsiCo,36881,Z 92,ROTARY RETAINER CHAIN ASSEMBLY,191
CB 2-201 B,3,237550,Intel Corp,36788,Q 16,AXIAL SPACER BOX TWO TON,136
MB 1-142 Q,4,340273,Lockheed Martin,34553,C 79,MAGNETIC RATCHET CLASS A CHART,137
EL 3-323 B,10,192507,GE Appliances,37649,Q 17,AXIAL PIN DEVICE TWO TON,156
CS 12-833 P,8,119893,Boeing,37884,F 58,MAGNETIC HOIST CHAIN CHART,163
RC 4-254 U,9,395386,Johnson & Johnson,33188,E 89,MECHANICAL NUT CLASS A DRIVE,184
ZU 11-857 G,10,344827,TPI Composites,37798,Q 52,TURBO RETAINER FRAME CHART,196
ZP 14-766 M,10,373165,GlobalFoundries,34547,X 2,ROTARY PIN CLASS C CHART,140
ZK 1-121 A,8,342227,Microsoft,33588,T 19,ROTARY NUT DEVICE WHEEL,142
PN 6-356 C,1,130197,Lockheed Martin,34454,R 98,SAFETY NUT UNIT ONE TON,100
RP 6-174 U,2,353569,GlobalFoundries,37199,P 83,MAGNETIC SPACER CLASS A ONE TON,137
MD 6-562 S,4,359158,PepsiCo,37155,X 95,MAGNETIC HOIST CLASS C WHEEL,104
AF 5-404 C,4,228192,Microsoft,35033,N 94,MAGNETIC RATCHET CHAIN ONE TON,113
QF 4-667 B,4,225888,Boeing,35662,W 41,MECHANICAL NUT CLASS A TWO TON,118
DX 3-139 T,6,264350,GlobalFoundries,34591,B 70,ROTARY RETAINER CLASS C TWO TON,111
ZO 10-514 Z,1,183769,Intel Corp,36970,A 1,TURBO RATCHET CHAIN TWO TON,112
GH 10-166 U,2,210639,Boeing,35728,I 99,ELECTRICAL BEARING FRAME WHEEL,187
SY 6-640 O,1,195549,GlobalFoundries,34948,Q 18,MECHANICAL HOIST CLASS A ONE TON,195
QE 6-745 N,7,309866,General Electric,33763,Z 76,ROTARY RATCHET UNIT WHEEL,160
SS 16-631 N,7,155282,GlobalFoundries,34558,C 93,SAFETY ROLLER UNIT ONE TON,117
HS 14-126 D,10,397644,Johnson & Johnson,36180,G 21,ELECTRICAL NUT FRAME WHEEL,168
RQ 7-635 P,5,397020,General Electric,35141,D 2,SAFETY PIN CLASS A DRIVE,121
CQ 7-316 L,8,191225,Intel Corp,35549,B 82,SAFETY PIN CLASS C WHEEL,189
YX 9-656 J,8,317724,Johnson & Johnson,33582,T 46,MAGNETIC HOOK UNIT ONE TON,148
WW 5-201 M,10,389816,GE Appliances,33743,Z 68,AXIAL NUT FRAME WHEEL,184
RU 13-750 B,2,188303,Intel Corp,36237,F 11,MECHANICAL BEARING CLASS A DRIVE,140
CZ 12-252 A,9,306405,Microsoft,36820,M 64,MAGNETIC PIN DEVICE CHART,134
AT 5-653 N,1,130464,Intel Corp,37378,O 61,MECHANICAL RATCHET UNIT ASSEMBLY,116
RH 3-269 R,7,210194,Boeing,37000,Y 55,MAGNETIC HOOK BOX DRIVE,136
TR 8-447 P,3,132786,TPI Composites,37290,C 21,AXIAL NUT DEVICE DRIVE,183
WT 17-763 X,9,144472,Boeing,35870,Y 77,ELECTRICAL ROLLER DEVICE WHEEL,171
RQ 18-268 B,5,181953,PepsiCo,37138,E 32,MECHANICAL HOOK DEVICE TWO TON,145
MV 9-728 Y,3,361731,Boeing,33179,X 44,MECHANICAL BRAKE CLASS A ASSEMBLY,194
VU 15-181 O,8,194751,Intel Corp,34607,X 83,MAGNETIC HOIST CLASS A CHART,167
FZ 3-692 B,1,378472,General Electric,35411,Z 28,ROTARY HOIST CLASS C CHART,142
YZ 17-630 Q,10,141026,Boeing,34052,K 43,MECHANICAL BEARING FRAME DRIVE,167
UF 13-665 W,3,320859,GE Appliances,32728,I 53,TURBO RATCHET CLASS C DRIVE,111
RY 15-638 W,9,171643,Microsoft,32753,F 95,ELECTRICAL NUT CLASS B CHART,109
KH 14-490 P,5,311888,Lockheed Martin,32956,B 89,ROTARY HOOK DEVICE DRIVE,187
KZ 10-594 K,4,378451,GE Appliances,33023,K 70,TURBO RATCHET CLASS C ONE TON,116
OI 16-937 F,8,148262,Boeing,35820,S 57,ELECTRICAL BEARING BOX TWO TON,112
NS 6-165 A,1,108662,General Electric,34400,Y 45,ROTARY ROLLER CHAIN CHART,118
JX 19-647 H,5,301997,Lockheed Martin,37649,A 25,TURBO SPACER DEVICE ONE TON,173
ZY 10-713 H,9,197340,TPI Composites,36794,Y 63,TURBO BRAKE BOX ONE TON,170
IB 19-656 E,2,141275,GlobalFoundries,32911,U 57,TURBO BRAKE FRAME WHEEL,141
QY 14-319 J,6,363057,TPI Composites,32688,K 45,ROTARY BEARING FRAME TWO TON,183
UC 12-422 G,8,250016,Microsoft,32739,A 58,SAFETY BEARING CLASS A ONE TON,134
SK 16-129 D,3,224507,GE Appliances,32469,J 7,MAGNETIC BEARING BOX DRIVE,164
RM 5-626 U,9,329146,TPI Composites,34215,W 26,MECHANICAL NUT DEVICE WHEEL,136
CM 14-856 A,1,339069,Lockheed Martin,37119,A 10,ELECTRICAL SPACER BOX DRIVE,182
GD 9-129 A,7,345702,GE Appliances,35715,G 62,ELECTRICAL RATCHET CLASS C TWO TON,197
XX 11-163 U,10,184375,Microsoft,36306,U 45,SAFETY PIN DEVICE DRIVE,154
MB 6-822 V,6,207960,General Electric,33983,X 87,ROTARY BRAKE BOX WHEEL,175
GX 15-463 P,3,321940,TPI Composites,34278,A 33,SAFETY BEARING UNIT TWO TON,117
HW 2-768 K,6,323962,GE Appliances,37937,E 85,MAGNETIC RATCHET UNIT ONE TON,176
TS 17-364 K,7,197367,PepsiCo,36723,K 57,SAFETY BRAKE DEVICE CHART,158
MT 4-697 N,2,216948,GlobalFoundries,36153,W 33,AXIAL HOOK CLASS B ASSEMBLY,137
AU 2-225 S,8,130020,GE Appliances,32568,E 80,MECHANICAL ROLLER CLASS C ASSEMBLY,169
OV 5-951 C,4,147086,Johnson & Johnson,33671,Q 40,SAFETY RATCHET CLASS C WHEEL,142
SU 15-831 C,8,306795,GlobalFoundries,32753,F 31,SAFETY RETAINER CLASS A DRIVE,197
EN 4-819 D,6,207471,GlobalFoundries,34795,W 63,MECHANICAL SPACER UNIT CHART,126
LG 6-524 O,1,127942,Intel Corp,36834,J 6,TURBO HOIST DEVICE WHEEL,192
JH 2-743 N,4,210600,GE Appliances,34186,R 57,AXIAL BRAKE DEVICE CHART,168
BT 8-695 R,2,186108,GE Appliances,35195,O 82,SAFETY ROLLER UNIT DRIVE,109
BQ 13-536 D,1,194634,GlobalFoundries,34498,H 2,MECHANICAL HOIST FRAME ONE TON,192
BW 18-130 Q,8,363523,General Electric,36591,X 48,ROTARY ROLLER CHAIN WHEEL,177
VM 17-383 L,3,274636,General Electric,34412,Z 99,MAGNETIC ROLLER CLASS A ONE TON,195
ZW 8-654 V,3,254933,Intel Corp,35128,L 83,AXIAL ROLLER CLASS A CHART,113
AS 17-816 G,1,387075,GE Appliances,34321,L 12,TURBO RETAINER DEVICE CHART,154
GH 19-558 T,7,154131,Boeing,34543,C 2,ELECTRICAL SPACER CHAIN DRIVE,169
LV 5-209 T,10,273523,General Electric,34960,E 75,SAFETY BEARING DEVICE CHART,122
OO 10-358 T,5,139349,Microsoft,35299,G 8,AXIAL ROLLER UNIT DRIVE,118
SY 7-590 N,9,278173,Lockheed Martin,34916,O 15,ELECTRICAL RETAINER CHAIN ONE TON,184
XZ 7-706 N,8,205467,GlobalFoundries,35483,G 15,MAGNETIC BRAKE BOX WHEEL,106
VX 13-983 I,1,367503,Lockheed Martin,34734,B 80,AXIAL ROLLER DEVICE ASSEMBLY,140
YH 15-529 P,8,160310,GlobalFoundries,33871,E 78,MAGNETIC HOIST CHAIN DRIVE,194
NE 12-216 U,5,284874,Boeing,34148,A 56,ELECTRICAL BRAKE CLASS C ASSEMBLY,101
PV 5-959 D,10,373412,PepsiCo,35175,J 72,TURBO SPACER BOX WHEEL,192
ZI 6-596 G,2,355586,Intel Corp,35007,I 93,MAGNETIC SPACER CLASS A TWO TON,143
LS 14-179 Y,5,305065,Johnson & Johnson,34954,W 95,AXIAL NUT CLASS A CHART,142
CM 1-159 N,8,193346,Intel Corp,37158,B 39,MECHANICAL ROLLER FRAME ONE TON,146
ZB 6-461 J,1,205296,Intel Corp,35131,S 46,SAFETY BRAKE CLASS A ONE TON,144
XZ 10-523 M,4,106776,General Electric,32687,X 22,MAGNETIC RATCHET DEVICE DRIVE,104
MW 3-707 N,9,169405,Boeing,33417,G 77,ELECTRICAL RETAINER CLASS B WHEEL,117
MP 7-160 W,8,369595,General Electric,35052,L 2,TURBO PIN FRAME ONE TON,178
ZH 5-564 E,7,343359,Boeing,32536,S 65,AXIAL HOIST CLASS A ASSEMBLY,173
VA 9-456 F,7,382424,TPI Composites,32546,N 38,ROTARY ROLLER CLASS B CHART,116
EJ 16-793 P,5,251207,Lockheed Martin,33545,B 74,MAGNETIC BEARING FRAME DRIVE,121
ZH 1-787 I,5,309475,TPI Composites,35140,Q 29,SAFETY HOIST CLASS B DRIVE,118
HY 14-575 D,6,148361,Johnson & Johnson,37984,G 29,ELECTRICAL NUT CHAIN TWO TON,104
DO 7-697 V,5,263531,Intel Corp,33948,W 93,ROTARY SPACER CLASS C DRIVE,176
KP 2-498 Z,9,310836,Lockheed Martin,36816,L 21,ROTARY ROLLER CHAIN DRIVE,191
BW 13-701 D,7,342662,TPI Composites,37380,K 28,ROTARY BRAKE CLASS A ONE TON,149
GQ 6-467 L,9,395386,Intel Corp,33668,I 60,ELECTRICAL ROLLER DEVICE DRIVE,171
HZ 10-512 D,1,209564,Intel Corp,33404,F 63,AXIAL SPACER DEVICE ASSEMBLY,172
VR 11-980 E,7,223739,Microsoft,36156,R 68,TURBO BRAKE BOX ASSEMBLY,104
QC 19-175 D,2,209720,PepsiCo,36876,H 93,ROTARY SPACER CLASS A TWO TON,157
PA 18-281 Z,4,267081,Intel Corp,36553,H 15,ELECTRICAL HOIST DEVICE TWO TON,193
FN 1-374 U,7,190253,Boeing,36520,L 67,MAGNETIC SPACER CLASS B ONE TON,137
WO 19-797 J,1,284704,General Electric,36993,E 63,MECHANICAL SPACER CHAIN ONE TON,143
RV 3-863 M,2,368880,PepsiCo,35568,Z 33,TURBO SPACER UNIT WHEEL,132
RV 8-155 B,1,219874,PepsiCo,36279,Y 12,ROTARY NUT CLASS A DRIVE,193
UX 6-451 Q,2,344118,Johnson & Johnson,37693,H 14,ELECTRICAL HOIST CLASS A TWO TON,171
EB 19-472 E,8,102404,Intel Corp,34324,C 84,TURBO BEARING CLASS A TWO TON,103
WT 19-911 U,2,388372,Lockheed Martin,36570,M 65,ROTARY BEARING CLASS B CHART,123
JL 4-414 M,6,323073,General Electric,34513,O 97,MECHANICAL HOIST UNIT CHART,125
DB 11-131 G,6,334920,Johnson & Johnson,32929,Y 82,MAGNETIC ROLLER FRAME ASSEMBLY,188
CY 5-564 S,2,126347,Intel Corp,35635,I 34,MAGNETIC RETAINER CLASS C ONE TON,198
VG 16-394 O,5,314295,Lockheed Martin,37745,K 81,SAFETY PIN UNIT DRIVE,187
WM 15-811 O,5,268423,Intel Corp,32404,N 24,AXIAL SPACER UNIT DRIVE,146
PE 3-274 I,4,279875,GE Appliances,34535,O 36,TURBO BEARING CLASS A CHART,134
MM 3-198 X,9,147182,Johnson & Johnson,34374,E 68,TURBO BEARING CLASS A CHART,112
WF 5-986 H,3,308340,PepsiCo,37722,K 67,MAGNETIC HOIST FRAME ONE TON,172
IL 1-597 I,9,304233,Johnson & Johnson,35645,N 30,TURBO NUT CHAIN DRIVE,127
BQ 14-698 Z,6,370636,General Electric,36626,W 80,MECHANICAL BEARING CLASS B ONE TON,122
TF 16-186 J,8,200711,GE Appliances,33439,N 5,MECHANICAL RATCHET CLASS A WHEEL,106
ZX 16-848 V,2,236072,Lockheed Martin,37143,W 66,MECHANICAL BRAKE CLASS B ASSEMBLY,163
QM 13-129 O,7,120514,General Electric,33243,J 14,MECHANICAL ROLLER CLASS C DRIVE,161
UI 3-497 F,9,140245,GlobalFoundries,34504,C 46,AXIAL NUT BOX ONE TON,133
BS 10-400 Y,2,243319,Lockheed Martin,37765,B 8,ROTARY RETAINER DEVICE ONE TON,176
AG 4-473 P,6,163450,GE Appliances,36169,E 76,AXIAL RETAINER CLASS A CHART,145
DM 7-403 U,1,327654,Lockheed Martin,32329,W 51,MAGNETIC HOIST CLASS C DRIVE,168
XM 1-327 G,6,134216,TPI Composites,32394,N 51,TURBO BRAKE FRAME DRIVE,138
RI 6-917 Q,10,202526,Lockheed Martin,37425,E 29,MAGNETIC HOOK BOX TWO TON,134
MY 11-152 Q,10,225967,Intel Corp,37807,I 88,MAGNETIC RATCHET CLASS A ONE TON,198
CZ 1-687 W,10,254077,Lockheed Martin,35152,O 60,MAGNETIC BRAKE FRAME WHEEL,139
AT 6-738 J,3,111601,GE Appliances,33017,E 56,ELECTRICAL SPACER UNIT ASSEMBLY,154
CE 19-411 R,10,147343,GlobalFoundries,37251,Y 16,TURBO BRAKE FRAME DRIVE,172
MX 1-180 V,5,347994,Intel Corp,36786,Z 12,AXIAL HOIST CHAIN CHART,178
MA 3-724 U,5,238902,PepsiCo,32173,X 85,MAGNETIC SPACER CHAIN ASSEMBLY,110
KU 5-440 Z,1,179629,General Electric,34064,C 43,MECHANICAL ROLLER CLASS B ASSEMBLY,139
OO 4-424 O,6,255471,Johnson & Johnson,34007,A 72,MAGNETIC BRAKE FRAME ONE TON,149
NA 14-421 K,4,170759,Intel Corp,35161,X 43,ROTARY RATCHET CLASS C CHART,111
TI 5-469 G,3,261018,Lockheed Martin,35209,O 34,SAFETY BEARING BOX TWO TON,124
MM 14-713 F,1,280775,Johnson & Johnson,36970,J 61,SAFETY SPACER CLASS A DRIVE,157
UD 15-477 P,9,252082,Johnson & Johnson,35938,T 37,ELECTRICAL BEARING UNIT CHART,145
MO 15-235 K,8,261201,PepsiCo,36554,R 69,AXIAL NUT FRAME ONE TON,197
BT 12-347 R,6,100199,GE Appliances,32445,Z 54,ROTARY RATCHET CLASS C WHEEL,185
TA 11-659 X,1,141627,Boeing,35589,N 52,TURBO BEARING BOX DRIVE,129
CD 2-638 B,6,160459,TPI Composites,34444,P 22,AXIAL NUT CHAIN ONE TON,113
UQ 2-713 F,5,316966,Johnson & Johnson,34147,Q 29,AXIAL HOOK BOX CHART,170
KN 15-931 V,10,258697,TPI Composites,35770,A 64,ROTARY PIN FRAME WHEEL,128
WK 3-198 U,4,373178,Johnson & Johnson,34351,I 52,MECHANICAL BEARING CLASS C TWO TON,106
ZK 14-587 Y,3,211506,TPI Composites,34480,A 63,AXIAL BEARING CLASS A ONE TON,194
UA 8-708 B,2,388059,General Electric,32976,C 45,ROTARY NUT BOX ONE TON,158
QL 1-172 T,4,308833,PepsiCo,34526,I 26,TURBO HOIST BOX TWO TON,196
UA 13-640 C,7,398185,Intel Corp,34888,R 22,ROTARY HOOK CLASS C CHART,133
MH 1-524 F,3,389667,Intel Corp,32244,Z 82,ROTARY SPACER CLASS B DRIVE,163
SR 16-181 Q,1,223792,Microsoft,35018,Y 76,ROTARY PIN UNIT TWO TON,111
SX 2-574 E,5,127254,PepsiCo,33649,N 82,ROTARY BEARING CHAIN CHART,165
MN 1-967 Q,8,100524,Johnson & Johnson,34083,H 6,SAFETY RETAINER UNIT TWO TON,190
DR 9-231 M,9,254399,Lockheed Martin,32446,X 63,MECHANICAL BRAKE CLASS C CHART,176
CT 15-977 R,4,128288,Microsoft,36594,I 69,ROTARY ROLLER CLASS A TWO TON,173
VR 4-198 W,8,269885,Boeing,36828,O 9,MECHANICAL ROLLER CLASS B DRIVE,125
HV 17-688 M,10,276182,Intel Corp,33607,V 80,MECHANICAL NUT FRAME TWO TON,128
TL 17-313 X,10,267783,Microsoft,34682,O 54,AXIAL RATCHET BOX DRIVE,184
TF 18-750 D,3,101397,Boeing,37529,Q 94,MECHANICAL BRAKE BOX DRIVE,138
OR 12-828 H,7,381838,PepsiCo,35224,T 73,MECHANICAL BRAKE CLASS A DRIVE,172
VI 4-324 R,4,197584,GE Appliances,35176,E 93,MECHANICAL NUT FRAME ASSEMBLY,173
QE 14-755 Q,6,140368,General Electric,37339,I 31,MECHANICAL HOOK CLASS B ASSEMBLY,190
CZ 9-142 F,1,297022,TPI Composites,37332,F 26,SAFETY RATCHET DEVICE ONE TON,131
DW 14-755 M,3,304072,PepsiCo,32425,A 53,SAFETY NUT CLASS C TWO TON,176
JS 13-904 G,2,228036,PepsiCo,35118,D 17,AXIAL BRAKE CLASS C ASSEMBLY,169
LA 12-484 U,5,231047,Boeing,36263,G 62,ROTARY PIN CLASS C ASSEMBLY,108
EG 5-306 O,6,291574,GlobalFoundries,35600,U 5,ROTARY BRAKE CLASS B ONE TON,167
PA 9-760 N,3,287150,GlobalFoundries,36761,K 60,TURBO HOOK CLASS B CHART,166
GP 19-686 P,10,222274,Intel Corp,37472,C 13,MECHANICAL HOIST FRAME DRIVE,133
YT 9-256 W,1,216462,Intel Corp,33329,O 89,MECHANICAL NUT DEVICE WHEEL,125
YG 4-482 L,10,323499,GlobalFoundries,37838,M 74,ELECTRICAL BEARING CLASS A TWO TON,161
FZ 12-258 F,8,168567,Boeing,32502,G 57,SAFETY RETAINER CLASS B DRIVE,173
QY 10-717 R,9,349426,Intel Corp,34369,H 18,MAGNETIC PIN UNIT ASSEMBLY,198
OO 4-223 E,7,330274,TPI Composites,33662,R 60,ROTARY BRAKE FRAME WHEEL,127
QJ 13-836 W,10,126162,TPI Composites,35994,T 9,TURBO HOIST CLASS A TWO TON,174
BB 7-681 D,6,309137,Intel Corp,33280,D 74,MECHANICAL BRAKE CLASS B ASSEMBLY,166
DW 18-211 U,3,395752,Intel Corp,37397,Q 62,ELECTRICAL PIN CHAIN ONE TON,176
UM 14-294 W,1,219277,Lockheed Martin,34765,Y 99,MAGNETIC PIN DEVICE ASSEMBLY,183
TQ 18-667 I,8,318487,TPI Composites,33734,B 39,SAFETY RETAINER FRAME ONE TON,112
SN 12-956 N,9,133027,GE Appliances,35351,G 21,MAGNETIC HOIST BOX DRIVE,125
AP 18-212 I,2,170064,Lockheed Martin,37542,S 74,AXIAL NUT CLASS B ONE TON,158
PR 1-958 C,6,152739,Intel Corp,37980,S 36,AXIAL HOOK UNIT ASSEMBLY,106
ZI 9-302 D,2,201075,Boeing,32145,W 51,AXIAL HOIST CLASS C ASSEMBLY,187
LD 5-303 M,7,314674,Microsoft,35052,X 95,MECHANICAL NUT DEVICE ASSEMBLY,110
PO 15-950 T,3,246687,Lockheed Martin,34926,E 16,ROTARY ROLLER UNIT CHART,187
NY 9-170 O,6,136026,PepsiCo,35581,K 59,ROTARY PIN FRAME TWO TON,166
ZD 2-490 S,4,148436,TPI Composites,34823,G 96,TURBO SPACER CHAIN WHEEL,162
LW 11-629 B,10,118094,Lockheed Martin,37399,C 99,ELECTRICAL ROLLER BOX CHART,168
SM 3-495 U,9,180512,General Electric,35803,R 79,AXIAL ROLLER CLASS C WHEEL,182
QI 10-793 N,8,247470,GE Appliances,35588,N 24,AXIAL RATCHET CLASS C ONE TON,129
FC 6-596 K,5,230181,PepsiCo,34792,E 27,ROTARY BRAKE CHAIN CHART,185
